DOI,Title,Matched Columns,Matched keywards,Matched Columns 2,Matched keywards 2
10.1109/EDGE60047.2023.00053,Service Classification of Network Traffic in 5G Core Networks using Machine Learning,"Abstract, Author Keywords, IEEE Terms","supervised learning, supervised learning, supervised learning","Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms, IEEE Terms","machine learning, supervised learning, machine learning, supervised learning, supervised learning, machine learning, supervised learning, supervised learning, machine learning, supervised learning"
10.1109/EDGE60047.2023.00062,DDoS-FOCUS: A Distributed DoS Attacks Mitigation using Deep Learning Approach for a Secure IoT Network,"Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, neural network, deep learning, cnn, cnn, deep learning","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","deep learning, neural network, deep learning, cnn, machine learning, cnn, deep learning"
10.1109/EDGE55608.2022.00018,Monitoring of IoT Systems at the Edges with Transformer-based Graph Convolutional Neural Networks,"Document Title, Abstract, Author Keywords","transformer, transformer, transformer","Document Title, Abstract, Author Keywords","transformer, transformer, transformer"
10.1109/EDGE55608.2022.00029,CONTINUER: Maintaining Distributed DNN Services During Edge Failures,IEEE Terms,deep learning,IEEE Terms,deep learning
10.1109/EDGE55608.2022.00034,A Novel Heterogeneous Computing Middleware for Mobile AI Services,Author Keywords,deep learning,Author Keywords,deep learning
10.1109/EDGE53862.2021.00014,A Random Greedy based Design Time Tool for AI Applications Component Placement and Resource Selection in Computing Continua,Abstract,deep learning,Abstract,deep learning
10.1109/EDGE50951.2020.00017,Analyzing Distributed Deep Neural Network Deployment on Edge and Cloud Nodes in IoT Systems,"Document Title, Document Title","neural network, deep neural network","Document Title, Document Title","neural network, deep neural network"
10.1109/ISCAS45731.2020.9180400,An Unconditionally Stable 28 GHz 18 dB Gain LNA Employing Current-Reuse,Abstract,transformer,Abstract,transformer
10.1109/ISCAS45731.2020.9180402,Efficient Accelerator for Dilated and Transposed Convolution with Decomposition,Abstract,cnn,Abstract,cnn
10.1109/ISCAS45731.2020.9180403,A Systolic Dataflow Based Accelerator for CNNs,Abstract,cnn,Abstract,cnn
10.1109/ISCAS45731.2020.9180404,Sparsity-Aware Deep Learning Accelerator Design Supporting CNN and LSTM Operations,"Document Title, Document Title, Abstract, Abstract","deep learning, cnn, deep learning, cnn","Document Title, Document Title, Abstract, Abstract","deep learning, cnn, deep learning, cnn"
10.1109/ISCAS45731.2020.9180405,Weight Isolation-Based Binarized Neural Networks Accelerator,Abstract,neural network,Abstract,neural network
10.1109/ISCAS45731.2020.9180406,High-Speed Power-Efficient Coarse-Grained Convolver Architecture using Depth-First Compression Scheme,"Abstract, Author Keywords, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, cnn","Abstract, Author Keywords, Author Keywords, Author Keywords","cnn, neural network, convolutional neural network, cnn"
10.1109/ISCAS45731.2020.9180409,CT PUF: Configurable Tristate PUF against Machine Learning Attacks,"Abstract, Abstract","artificial neural network, neural network","Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","machine learning, artificial neural network, neural network, machine learning, machine learning, machine learning"
10.1109/ISCAS45731.2020.9180416,Investigation of Effect of Stray Capacitances in Air-Core Toroidal Transformer at High-Frequency Oscillation Based on Internal Magnetic Flux Density,"Document Title, Abstract","transformer, transformer","Document Title, Abstract","transformer, transformer"
10.1109/ISCAS45731.2020.9180430,Binary Single-Dimensional Convolutional Neural Network for Seizure Prediction,"Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, deep learning, neural network, convolutional neural network, deep learning","Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, deep learning, precision, neural network, convolutional neural network, deep learning"
10.1109/ISCAS45731.2020.9180432,A CNN Based Human Bowel Sound Segment Recognition Algorithm with Reduced Computation Complexity for Wearable Healthcare System,"Document Title, Abstract","cnn, cnn","Document Title, Abstract","cnn, cnn"
10.1109/ISCAS45731.2020.9180439,A Bio-Inspired Neuromorphic Active Vision System Based on Fixational Eye Movements,"Abstract, Abstract","neural network, spiking neural network","Abstract, Abstract","neural network, spiking neural network"
10.1109/ISCAS45731.2020.9180440,A 28-nm Convolutional Neuromorphic Processor Enabling Online Learning with Spike-Based Retinas,"Abstract, Abstract","neural network, cnn","Abstract, Abstract, Abstract","neural network, cnn, machine learning"
10.1109/ISCAS45731.2020.9180443,Memory Organization for Energy-Efficient Learning and Inference in Digital Neuromorphic Accelerators,"Abstract, Abstract","neural network, spiking neural network","Abstract, Abstract","neural network, spiking neural network"
10.1109/ISCAS45731.2020.9180452,Memory-Augmented Auto-Regressive Network for Frame Recurrent Inter Prediction,"Abstract, Abstract, Author Keywords","long short-term memory, attention mechanism, deep learning","Abstract, Abstract, Author Keywords","long short-term memory, attention mechanism, deep learning"
10.1109/ISCAS45731.2020.9180454,Reinforced Bit Allocation under Task-Driven Semantic Distortion Metrics,Abstract,cnn,"Abstract, Abstract, Author Keywords","cnn, reinforcement learning, reinforcement learning"
10.1109/ISCAS45731.2020.9180463,CORDIC-SNN: On-FPGA STDP Learning with Izhikevich Neurons,"Author Keywords, Author Keywords","neural network, spiking neural network","Author Keywords, Author Keywords","neural network, spiking neural network"
10.1109/ISCAS45731.2020.9180467,"Transformer-Combining Digital PA with Efficiency Peaking at 0, −6, and −12 dB Backoff in 32nm CMOS","Document Title, Abstract, Author Keywords, IEEE Terms","transformer, transformer, transformer, transformer","Document Title, Abstract, Author Keywords, IEEE Terms","transformer, transformer, transformer, transformer"
10.1109/ISCAS45731.2020.9180472,A Reliability-Oriented Machine Learning Strategy for Heterogeneous Multicore Application Mapping,"Abstract, Abstract, Abstract","artificial neural network, neural network, ann","Document Title, Abstract, Abstract, Abstract","machine learning, artificial neural network, neural network, ann"
10.1109/ISCAS45731.2020.9180473,An 85 nW IoT Node-Controlling SoC for MELs Power-Mode Management and Phantom Energy Reduction,Author Affiliations,ann,Author Affiliations,ann
10.1109/ISCAS45731.2020.9180475,Adaptive Machine Learning-Based Temperature Prediction Scheme for Thermal-Aware NoC System,"Abstract, Abstract, Author Keywords","artificial neural network, neural network, neural network","Document Title, Abstract, Abstract, Abstract, Author Keywords","machine learning, artificial neural network, neural network, machine learning, neural network"
10.1109/ISCAS45731.2020.9180476,Fired Neuron Rate Based Decision Tree for Detection of Adversarial Examples in DNNs,"Abstract, Abstract, Abstract, Abstract","neural network, deep neural network, activation functions, deep learning","Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, IEEE Terms","decision tree, neural network, deep neural network, activation functions, deep learning, machine learning, machine learning"
10.1109/ISCAS45731.2020.9180486,Through-The-Barrier Communications in Isolated Class-E Converters Embedding a Low-K Transformer,"Document Title, Abstract, IEEE Terms","transformer, transformer, transformer","Document Title, Abstract, IEEE Terms","transformer, transformer, transformer"
10.1109/ISCAS45731.2020.9180489,Adaptive Control-Based Voltage Regulation of a Magnetically Coupled Multiport DC-DC Converter for Electrified Vehicles Applications,IEEE Terms,transformer,IEEE Terms,transformer
10.1109/ISCAS45731.2020.9180506,HyNNA: Improved Performance for Neuromorphic Vision Sensor Based Surveillance using Hybrid Neural Network Architecture,"Document Title, Abstract, Abstract, Abstract","neural network, neural network, convolutional neural network, cnn","Document Title, Abstract, Abstract, Abstract","neural network, neural network, convolutional neural network, cnn"
10.1109/ISCAS45731.2020.9180510,CMOS-Free Magnetic Domain Wall Leaky Integrate-and-Fire Neurons with Intrinsic Lateral Inhibition,Author Keywords,neural network,Author Keywords,neural network
10.1109/ISCAS45731.2020.9180511,Plasticity-Enhanced Domain-Wall MTJ Neural Networks for Energy-Efficient Online Learning,"Abstract, IEEE Terms","backpropagation, supervised learning","Abstract, Abstract, Abstract, IEEE Terms, IEEE Terms","backpropagation, machine learning, clustering, supervised learning, supervised learning"
10.1109/ISCAS45731.2020.9180512,Metaplasticity in Multistate Memristor Synaptic Networks,Abstract,neural network,Abstract,neural network
10.1109/ISCAS45731.2020.9180513,A Spiking Recurrent Neural Network with Phase Change Memory Synapses for Decision Making,"Document Title, Document Title, Author Keywords, Author Keywords","neural network, recurrent neural network, neural network, recurrent neural network","Document Title, Document Title, Abstract, Author Keywords, Author Keywords","neural network, recurrent neural network, recall, neural network, recurrent neural network"
10.1109/ISCAS45731.2020.9180514,Towards Hardware Optimal Neural Network Selection with Multi-Objective Genetic Search,"Document Title, Abstract","neural network, neural network","Document Title, Abstract","neural network, neural network"
10.1109/ISCAS45731.2020.9180528,LSTM-Based Viewpoint Prediction for Multi-Quality Tiled Video Coding in Virtual Reality Streaming,"Abstract, Author Keywords","long short-term memory, long short-term memory","Abstract, Author Keywords","long short-term memory, long short-term memory"
10.1109/ISCAS45731.2020.9180529,Towards Semantically Scalable Image Coding using Semantic Map,"Abstract, Abstract, Abstract","neural network, recurrent neural network, generative adversarial network","Abstract, Abstract, Abstract","neural network, recurrent neural network, generative adversarial network"
10.1109/ISCAS45731.2020.9180543,A 52dB Spurious-Free Dynamic Range Ku-Band LNA-Mixer in a 130nm SiGe BiCMOS Process,"Abstract, Author Keywords","transformer, transformer","Abstract, Author Keywords","transformer, transformer"
10.1109/ISCAS45731.2020.9180545,Towards Strong AI with Analog Neural Chips,IEEE Terms,neural network,IEEE Terms,neural network
10.1109/ISCAS45731.2020.9180548,Towards Efficient On-Chip Learning using Equilibrium Propagation,"Abstract, Abstract, Author Keywords, Author Keywords","backpropagation, deep learning, neural network, deep neural network","Abstract, Abstract, Author Keywords, Author Keywords","backpropagation, deep learning, neural network, deep neural network"
10.1109/ISCAS45731.2020.9180549,Memristor Overwrite Logic (MOL) for Energy-Efficient In-Memory DNN,"Abstract, Author Keywords, Author Keywords","neural network, neural network, deep neural network","Abstract, Author Keywords, Author Keywords","neural network, neural network, deep neural network"
10.1109/ISCAS45731.2020.9180556,RF-Rate Hybrid CNN Accelerator Based on Analog-CMOS and Xilinx RFSoC,"Document Title, Abstract, Abstract","cnn, deep learning, cnn","Document Title, Abstract, Abstract, Abstract, Abstract, IEEE Terms","cnn, deep learning, cnn, machine learning, precision, machine learning"
10.1109/ISCAS45731.2020.9180580,Model Reverse-Engineering Attack using Correlation Power Analysis against Systolic Array Based Neural Network Accelerator,"Document Title, Abstract, Abstract","neural network, neural network, deep neural network","Document Title, Abstract, Abstract","neural network, neural network, deep neural network"
10.1109/ISCAS45731.2020.9180590,Unified Characterization Platform for Emerging NVM Technology: Neural Network Application Benchmarking using off-the-Shelf NVM Chips,"Document Title, Abstract","neural network, neural network","Document Title, Abstract","neural network, neural network"
10.1109/ISCAS45731.2020.9180608,Dynamics of Time-Domain Power-Elastic Circuits for Pervasive Machine Learning,Abstract,neural network,"Document Title, Abstract, Abstract, Author Keywords","machine learning, neural network, machine learning, machine learning"
10.1109/ISCAS45731.2020.9180625,An FPGA-Based Hybrid Neural Network Accelerator for Embedded Satellite Image Classification,"Document Title, Abstract","neural network, neural network","Document Title, Abstract, Author Keywords","neural network, neural network, machine learning"
10.1109/ISCAS45731.2020.9180627,Emergence of Gabor-Like Receptive Fields in a Recurrent Network of Mixed-Signal Silicon Neurons,"Abstract, Abstract","neural network, recurrent neural network","Abstract, Abstract","neural network, recurrent neural network"
10.1109/ISCAS45731.2020.9180628,Visual Pattern Recognition with on On-Chip Learning: Towards a Fully Neuromorphic Approach,"Abstract, Abstract","neural network, spiking neural network","Abstract, Abstract","neural network, spiking neural network"
10.1109/ISCAS45731.2020.9180629,Scalable Block-Based Spiking Neural Network Hardware with a Multiplierless Neuron Model,"Document Title, Document Title, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network","Document Title, Document Title, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network"
10.1109/ISCAS45731.2020.9180630,Exploring Spiking Neural Networks for Prediction of Traffic Congestion in Networks-on-Chip,"Abstract, Abstract","neural network, spiking neural network","Abstract, Abstract","neural network, spiking neural network"
10.1109/ISCAS45731.2020.9180634,MuBiNN: Multi-Level Binarized Recurrent Neural Network for EEG Signal Classification,"Document Title, Document Title","neural network, recurrent neural network","Document Title, Document Title, Abstract","neural network, recurrent neural network, precision"
10.1109/ISCAS45731.2020.9180635,A Transcranial Alternating Current Stimulator for Neural Entrainment,Author Affiliations,ann,Author Affiliations,ann
10.1109/ISCAS45731.2020.9180636,CardioNet: Deep Learning Framework for Prediction of CVD Risk Factors,"Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","deep learning, neural network, convolutional neural network, deep learning, neural network, convolutional neural network, deep learning","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","deep learning, neural network, convolutional neural network, deep learning, feature selection, neural network, convolutional neural network, deep learning, machine learning"
10.1109/ISCAS45731.2020.9180642,Dynamic Firing on Static Analog/Digital Neuron Circuits with Resistive Synapses for Time-Series Neural Network,Document Title,neural network,Document Title,neural network
10.1109/ISCAS45731.2020.9180686,Live Demonstration: An Intelligent Scalp Diagnosis System using Deep Learning for Scalp Healthcare,"Document Title, Abstract","deep learning, deep learning","Document Title, Abstract","deep learning, deep learning"
10.1109/ISCAS45731.2020.9180693,Background Calibration of Time-Interleaved ADC for Optical Coherent Receivers using Error Backpropagation Techniques,"Document Title, Abstract","backpropagation, backpropagation","Document Title, Abstract, Abstract","backpropagation, backpropagation, machine learning"
10.1109/ISCAS45731.2020.9180694,Backpropagation-Based Background Compensation of Frequency Interleaved ADC for Coherent Optical Receivers,"Document Title, Abstract, IEEE Terms","backpropagation, backpropagation, backpropagation","Document Title, Abstract, IEEE Terms","backpropagation, backpropagation, backpropagation"
10.1109/ISCAS45731.2020.9180703,ASIC Implementation of a Pre-Trained Neural Network for ECG Feature Extraction,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, recurrent neural network, neural network, multi-layer perceptron","Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, recurrent neural network, neural network, multi-layer perceptron"
10.1109/ISCAS45731.2020.9180708,RNN-Based Detection of Fault Attacks on RSA,"Abstract, Abstract","neural network, recurrent neural network","Abstract, Abstract","neural network, recurrent neural network"
10.1109/ISCAS45731.2020.9180717,A Quad-Output Elastic Switched Capacitor Converter and Per-Core LDO with 87% Power Efficiency and 2.5× Core-Frequency Range Improvement,Abstract,dropout,Abstract,dropout
10.1109/ISCAS45731.2020.9180722,A Hybrid FeMFET-CMOS Analog Synapse Circuit for Neural Network Training and Inference,"Document Title, Document Title","neural network, neural network training","Document Title, Document Title, Abstract","neural network, neural network training, precision"
10.1109/ISCAS45731.2020.9180728,An Inference Hardware Accelerator for EEG-Based Emotion Detection,"Abstract, Abstract","neural network, convolutional neural network","Abstract, Abstract","neural network, convolutional neural network"
10.1109/ISCAS45731.2020.9180732,A Quad Joint Relational Feature for 3D Skeletal Action Recognition with Circular CNNs,"Abstract, Abstract, Abstract","neural network, convolutional neural network, batch normalization","Abstract, Abstract, Abstract, IEEE Terms","neural network, convolutional neural network, batch normalization, machine learning"
10.1109/ISCAS45731.2020.9180733,Improving InSAR Image Quality and Co-Registration through CNN-Based Super-Resolution,Document Title,cnn,Document Title,cnn
10.1109/ISCAS45731.2020.9180734,A Convolutional Neural Network for Classification of Nerve Activity Based on Action Potential Induced Neurochemical Signatures,"Document Title, Document Title, Abstract, Abstract, Abstract","neural network, convolutional neural network, neural network, convolutional neural network, cnn","Document Title, Document Title, Abstract, Abstract, Abstract, Abstract","neural network, convolutional neural network, neural network, convolutional neural network, cnn, feature engineering"
10.1109/ISCAS45731.2020.9180740,Terrain Classification with a Reservoir-Based Network of Spiking Neurons,"Abstract, Abstract, Abstract","neural network, spiking neural network, recurrent layer","Abstract, Abstract, Abstract, Abstract, Abstract","neural network, spiking neural network, recurrent layer, support vector machine, svm"
10.1109/ISCAS45731.2020.9180744,Accurate and Energy-Efficient Implementation of Non-Linear Adder in Parallel Stochastic Computing using Sorting Network,"Abstract, Abstract","neural network, activation functions","Abstract, Abstract","neural network, activation functions"
10.1109/ISCAS45731.2020.9180750,Single Image Dehazing using a Novel Histogram Tranformation Network,"Abstract, Author Keywords","deep learning, deep learning","Abstract, Author Keywords","deep learning, deep learning"
10.1109/ISCAS45731.2020.9180751,Deep Lightening Network for Low-Light Image Enhancement,Author Keywords,deep learning,Author Keywords,deep learning
10.1109/ISCAS45731.2020.9180752,MAM: Mixed Attention Module with Random Disruption Augmentation for Image Classification,Abstract,attention mechanism,"Abstract, Abstract","attention mechanism, data augmentation"
10.1109/ISCAS45731.2020.9180753,"Memorize, Then Recall: A Generative Framework for Low Bit-Rate Surveillance Video Compression","Abstract, Abstract, Abstract, Author Keywords","neural network, recurrent neural network, attention mechanism, generative adversarial network","Document Title, Abstract, Abstract, Abstract, Author Keywords","recall, neural network, recurrent neural network, attention mechanism, generative adversarial network"
10.1109/ISCAS45731.2020.9180754,Low-Complexity Intra Prediction for Screen Content Coding by Convolutional Neural Network,"Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, cnn, neural network, convolutional neural network","Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, cnn, neural network, convolutional neural network"
10.1109/ISCAS45731.2020.9180757,Mixed Signal Multiply and Adder Parallel Circuit for Deep Learning Convolution Operations,"Document Title, Abstract, Author Keywords, Author Keywords","deep learning, deep learning, neural network, deep neural network","Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","deep learning, deep learning, neural network, deep neural network, machine learning"
10.1109/ISCAS45731.2020.9180768,FPAD: A Multistage Approximation Methodology for Designing Floating Point Approximate Dividers,"Abstract, Abstract","neural network, convolutional neural network","Abstract, Abstract","neural network, convolutional neural network"
10.1109/ISCAS45731.2020.9180769,Hardware Efficient Function Computation Based on Optimized Piecewise Polynomial Approximation,Author Keywords,activation functions,Author Keywords,activation functions
10.1109/ISCAS45731.2020.9180776,High Efficiency Fully Integrated On-Chip Regulator for Wide-Range Output Current,Abstract,dropout,Abstract,dropout
10.1109/ISCAS45731.2020.9180801,A Process-Variation Robust RRAM-Compatible CMOS Neuron for Neuromorphic System-on-a-Chip,"Abstract, Abstract, Abstract, Author Keywords","artificial neural network, neural network, ann, transfer learning","Abstract, Abstract, Abstract, Author Keywords, Author Keywords","artificial neural network, neural network, ann, transfer learning, transfer learning"
10.1109/ISCAS45731.2020.9180809,Self Tuning Stochastic Weighted Neural Networks,"Abstract, Author Keywords","neural network, neural network","Abstract, Author Keywords","neural network, neural network"
10.1109/ISCAS45731.2020.9180810,MemTorch: A Simulation Framework for Deep Memristive Cross-Bar Architectures,"Abstract, Author Keywords","deep learning, deep learning","Abstract, Abstract, Author Keywords","deep learning, machine learning, deep learning"
10.1109/ISCAS45731.2020.9180812,File Classification Based on Spiking Neural Networks,"Abstract, IEEE Terms","backpropagation, backpropagation","Abstract, Abstract, IEEE Terms, IEEE Terms","backpropagation, machine learning, backpropagation, machine learning"
10.1109/ISCAS45731.2020.9180818,Directly Obtaining Matching Points without Keypoints for Image Stitching,"Abstract, Abstract, Author Keywords","neural network, cnn, neural network","Abstract, Abstract, Author Keywords","neural network, cnn, neural network"
10.1109/ISCAS45731.2020.9180820,Deep Learning with Augmented Kalman Filter for Single-Channel Speech Enhancement,"Document Title, Abstract, Abstract","deep learning, deep residual network, deep learning","Document Title, Abstract, Abstract, IEEE Terms","deep learning, deep residual network, deep learning, machine learning"
10.1109/ISCAS45731.2020.9180822,EFFRBNet: A Deep Super Resolution Network using Edge-Assisted Feature Fusion Residual Blocks,Author Keywords,deep learning,Author Keywords,deep learning
10.1109/ISCAS45731.2020.9180823,Fully Optimized Convolutional Neural Network Based on Small-Scale Crowd,"Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","neural network, convolutional neural network, neural network, convolutional neural network, cnn, neural network, convolutional neural network","Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","neural network, convolutional neural network, neural network, convolutional neural network, cnn, neural network, convolutional neural network, machine learning, machine learning"
10.1109/ISCAS45731.2020.9180824,Multilayer Probabilistic Knowledge Transfer for Learning Image Representations,Abstract,neural network,Abstract,neural network
10.1109/ISCAS45731.2020.9180825,Computerized Logo Synthesis with Wavelets-Enhanced Adversarial Learning,Author Keywords,deep learning,"Abstract, Author Keywords","clustering, deep learning"
10.1109/ISCAS45731.2020.9180826,Computation-Affordable Recognition System for Activity Identification using a Smart Phone at Home,"Abstract, Author Keywords, Author Keywords, Author Keywords, Author Keywords","gated recurrent unit, neural network, deep neural network, recurrent neural network, gated recurrent unit","Abstract, Author Keywords, Author Keywords, Author Keywords, Author Keywords","gated recurrent unit, neural network, deep neural network, recurrent neural network, gated recurrent unit"
10.1109/ISCAS45731.2020.9180836,HBUCNNA: Hybrid Binary-Unary Convolutional Neural Network Accelerator,"Document Title, Document Title, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, batch normalization, cnn, cnn","Document Title, Document Title, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, batch normalization, cnn, cnn"
10.1109/ISCAS45731.2020.9180841,PointNet on FPGA for Real-Time LiDAR Point Cloud Processing,Abstract,deep learning,Abstract,deep learning
10.1109/ISCAS45731.2020.9180842,A Unified Hardware Architecture for Convolutions and Deconvolutions in CNN,"Document Title, Abstract","cnn, neural network","Document Title, Abstract","cnn, neural network"
10.1109/ISCAS45731.2020.9180843,Accelerating Tiny YOLOv3 using FPGA-Based Hardware/Software Co-Design,Abstract,cnn,Abstract,cnn
10.1109/ISCAS45731.2020.9180844,A Convolutional Neural Network Accelerator Architecture with Fine-Granular Mixed Precision Configurability,"Document Title, Document Title, Abstract, Abstract","neural network, convolutional neural network, deep learning, cnn","Document Title, Document Title, Document Title, Abstract, Abstract, Abstract","neural network, convolutional neural network, precision, deep learning, cnn, precision"
10.1109/ISCAS45731.2020.9180855,Sub-1 V Output-Capacitor-Less Low-Dropout Regulator with Two Compensation Amplifiers for Enhanced Power Supply Rejection,"Document Title, Abstract","dropout, dropout","Document Title, Abstract","dropout, dropout"
10.1109/ISCAS45731.2020.9180856,"Low Quiescent Current, Capacitor-Less LDO with Adaptively Biased Power Transistors and Load Aware Feedback Resistance",Author Keywords,dropout,Author Keywords,dropout
10.1109/ISCAS45731.2020.9180860,A Current Efficient 10mA Analog-Assisted Digital Low Dropout Regulator with Dynamic Clock Frequency in 65nm CMOS,"Document Title, Author Keywords","dropout, dropout","Document Title, Author Keywords","dropout, dropout"
10.1109/ISCAS45731.2020.9180862,A Low-Voltage Split Memory Architecture for Binary Neural Networks,"Abstract, Author Keywords, Author Keywords","batch normalization, neural network, cnn","Abstract, Author Keywords, Author Keywords","batch normalization, neural network, cnn"
10.1109/ISCAS45731.2020.9180863,Accelerating Depthwise Convolution and Pooling Operations on z-First Storage CNN Architectures,"Document Title, Abstract","cnn, cnn","Document Title, Abstract","cnn, cnn"
10.1109/ISCAS45731.2020.9180864,A CORDIC-Based Architecture with Adjustable Precision and Flexible Scalability to Implement Sigmoid and Tanh Functions,Abstract,activation functions,"Document Title, Abstract, Abstract, Abstract, Author Keywords","precision, activation functions, precision, rmse, precision"
10.1109/ISCAS45731.2020.9180865,Zebra: Memory Bandwidth Reduction for CNN Accelerators with Zero Block Regularization of Activation Maps,"Document Title, Abstract","cnn, cnn","Document Title, Abstract","cnn, cnn"
10.1109/ISCAS45731.2020.9180867,Advantages and Limitations of Fully on-Chip CNN FPGA-Based Hardware Accelerator,"Document Title, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, cnn","Document Title, Abstract, Abstract, Author Keywords","cnn, neural network, convolutional neural network, cnn"
10.1109/ISCAS45731.2020.9180868,A Power Efficient Multi-Bit Accelerator for Memory Prohibitive Deep Neural Networks,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep neural network","Abstract, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep neural network"
10.1109/ISCAS45731.2020.9180869,DC-LSTM: Deep Compressed LSTM with Low Bit-Width and Structured Matrices,"Abstract, Author Keywords","long short-term memory, long short-term memory","Abstract, Author Keywords","long short-term memory, long short-term memory"
10.1109/ISCAS45731.2020.9180870,Design and Implementation of an Approximate Softmax Layer for Deep Neural Networks,"Abstract, Author Keywords, Author Keywords","softmax function, neural network, deep neural network","Abstract, Author Keywords, Author Keywords","softmax function, neural network, deep neural network"
10.1109/ISCAS45731.2020.9180871,Accelerating Deep Neural Network Computation on a Low Power Reconfigurable Architecture,"Document Title, Document Title, Author Affiliations, Abstract, Abstract, Abstract, IEEE Terms","neural network, deep neural network, ann, neural network, recurrent neural network, transformer, transformer","Document Title, Document Title, Author Affiliations, Abstract, Abstract, Abstract, IEEE Terms","neural network, deep neural network, ann, neural network, recurrent neural network, transformer, transformer"
10.1109/ISCAS45731.2020.9180872,ESSOP: Efficient and Scalable Stochastic Outer Product Architecture for Deep Learning,"Document Title, Abstract","deep learning, activation functions","Document Title, Abstract","deep learning, activation functions"
10.1109/ISCAS45731.2020.9180874,Multiply-Accumulate Enhanced BDD-Based Logic Synthesis on RRAM Crossbars,Abstract,neural network,Abstract,neural network
10.1109/ISCAS45731.2020.9180878,RecNet: Deep Learning-Based OFDM Receiver with Semi-Blind Channel Estimation,"Document Title, Abstract, Author Keywords","deep learning, deep learning, deep learning","Document Title, Abstract, Author Keywords","deep learning, deep learning, deep learning"
10.1109/ISCAS45731.2020.9180881,A Low Latency NN-Based Cyclic Jacobi EVD Processor for DOA Estimation in Radar System,Abstract,neural network,Abstract,neural network
10.1109/ISCAS45731.2020.9180904,Neural Synaptic Plasticity-Like Computing: An Ultra-Low Cost Approach for Artificial Neural Networks Implementation,Abstract,neural network,Abstract,neural network
10.1109/ISCAS45731.2020.9180906,Towards Autonomous Intra-Cortical Brain Machine Interfaces: Applying Bandit Algorithms for Online Reinforcement Learning,IEEE Terms,supervised learning,"Document Title, Abstract, Abstract, IEEE Terms, IEEE Terms","reinforcement learning, reinforcement learning, svm, supervised learning, supervised learning"
10.1109/ISCAS45731.2020.9180909,An AI-Edge Platform with Multimodal Wearable Physiological Signals Monitoring Sensors for Affective Computing Applications,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, cnn, neural network, convolutional neural network","Abstract, Abstract, Abstract, Author Keywords, Author Keywords","neural network, cnn, machine learning, neural network, convolutional neural network"
10.1109/ISCAS45731.2020.9180914,Biologically Plausible Contrast Detection using a Memristor Array,"Author Affiliations, Author Keywords","ann, neural network","Author Affiliations, Author Keywords","ann, neural network"
10.1109/ISCAS45731.2020.9180918,A Novel Conversion Method for Spiking Neural Network using Median Quantization,"Document Title, Document Title, Abstract, Abstract, Abstract","neural network, spiking neural network, neural network, deep learning, ann","Document Title, Document Title, Abstract, Abstract, Abstract","neural network, spiking neural network, neural network, deep learning, ann"
10.1109/ISCAS45731.2020.9180919,Optimize FPGA-Based Neural Network Accelerator with Bit-Shift Quantization,"Document Title, Abstract, Abstract","neural network, neural network, deep neural network","Document Title, Abstract, Abstract, Abstract","neural network, neural network, deep neural network, mean absolute error"
10.1109/ISCAS45731.2020.9180920,An In-Flash Binary Neural Network Accelerator with SLC NAND Flash Array,"Document Title, Abstract, Author Keywords","neural network, neural network, neural network","Document Title, Abstract, Author Keywords, Author Keywords","neural network, neural network, neural network, machine learning"
10.1109/ISCAS45731.2020.9180921,Hardware-Oriented Dual Stream Object Recognition System using Binarized Neural Networks,Abstract,cnn,"Abstract, Abstract","cnn, machine learning"
